指标,数量
近3个月需要年审(待办),149
其中已逾期,20
已年审(已完成),141
完成比例%,48.62
计算公式,141 / (141+149) = 48.62%

【待办按检验到期月】
月份,车辆数
2026-03,2
2026-04,1
2026-05,2
2026-06,15
2026-07,79
2026-08,8
2026-09,42

【已完成按办理时间月】
月份,车辆数
2026-06,110
2026-07,31

【待办明细】
车牌号,品牌,型号,运营状态,检验到期日,剩余天数,区域,状态
沪AGU0361,跃进,4.5吨冷链车,库存,2026-09-30,68,浙江省-嘉兴市,待办
沪AGU0933,跃进,4.5吨冷链车,库存,2026-09-30,68,浙江省-嘉兴市,待办
沪AGW3907,跃进,4.5吨冷链车,库存,2026-09-30,68,浙江省-嘉兴市,待办
沪AGW3350,跃进,4.5吨冷链车,库存,2026-09-30,68,浙江省-嘉兴市,待办
沪AGW9957,跃进,4.5吨冷链车,库存,2026-09-30,68,浙江省-嘉兴市,待办
沪AGU5976,跃进,4.5吨冷链车,库存,2026-09-30,68,浙江省-嘉兴市,待办
沪AGU9708,跃进,4.5吨冷链车,库存,2026-09-30,68,浙江省-嘉兴市,待办
沪AGU2792,跃进,4.5吨冷链车,库存,2026-09-30,68,浙江省-嘉兴市,待办
沪AGW6270,跃进,4.5吨冷链车,库存,2026-09-30,68,浙江省-嘉兴市,待办
沪AGW6139,跃进,4.5吨冷链车,库存,2026-09-30,68,浙江省-嘉兴市,待办
沪AGW6903,跃进,4.5吨冷链车,库存,2026-09-30,68,浙江省-嘉兴市,待办
沪AGW9653,跃进,4.5吨冷链车,库存,2026-09-30,68,浙江省-嘉兴市,待办
沪AGU7236,跃进,4.5吨冷链车,库存,2026-09-30,68,浙江省-嘉兴市,待办
沪A05830F,苏龙,海格牌18吨双飞翼货车,租赁,2026-09-30,68,浙江省-上海市,待办
沪AGW9332,跃进,4.5吨冷链车,库存,2026-09-30,68,浙江省-嘉兴市,待办
沪AGU6829,跃进,4.5吨冷链车,库存,2026-09-30,68,浙江省-苏州市,待办
沪AGU9929,跃进,4.5吨冷链车,库存,2026-09-30,68,浙江省-嘉兴市,待办
沪AGW2132,跃进,4.5吨冷链车,库存,2026-09-30,68,浙江省-嘉兴市,待办
沪AGU6395,跃进,4.5吨冷链车,库存,2026-09-30,68,浙江省-嘉兴市,待办
浙F08889F,苏龙,海格牌18吨双飞翼货车,租赁,2026-09-30,68,浙江省-金华市,待办
浙F00885F,苏龙,海格牌18吨双飞翼货车,租赁,2026-09-30,68,浙江省-金华市,待办
沪A32186F,苏龙,海格牌18吨双飞翼货车,租赁,2026-09-30,68,浙江省-成都市,待办
沪A35879F,苏龙,海格牌18吨双飞翼货车,库存,2026-09-30,68,安徽省-南京市,待办
沪BH391挂,鲁郸万通牌,重型集装箱半挂车,租赁,2026-09-30,68,浙江省-嘉兴市,待办

【已完成明细】
车牌号,品牌,型号,运营状态,检验到期日(更新后),办理时间,剩余天数,区域,状态
粤AGP3673,现代,帕力安牌4.5吨冷链车,租赁,2027-06-30,2026-07-18 14:30:43,347,湖北省-九龙坡区,已完成
粤AGP4587,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-07-18 14:26:46,347,湖北省-九龙坡区,已完成
浙F03838F,飞驰,49吨牵引车头,自营,2027-07-31,2026-07-16 11:18:09,380,浙江省-嘉兴市,已完成
沪A35798F,苏龙,海格牌18吨双飞翼货车,租赁,2027-09-30,2026-07-13 13:27:38,444,江苏省-南京市,已完成
沪A07153F,苏龙,海格牌18吨双飞翼货车,租赁,2027-09-30,2026-07-10 16:06:27,447,江苏省-南京市,已完成
沪A02720F,苏龙,海格牌18吨双飞翼货车,租赁,2027-09-30,2026-07-09 16:23:08,448,江苏省-南京市,已完成
沪A02361F,苏龙,海格牌18吨双飞翼货车,租赁,2027-09-30,2026-07-09 16:21:33,448,江苏省-南京市,已完成
沪A03659F,苏龙,海格牌18吨双飞翼货车,租赁,2027-09-30,2026-07-09 10:09:10,448,江苏省-南京市,已完成
